nombre,poblacion,superficie,continente
Liechtenstein ,33987,160,WESTERN EUROPE                     
Lithuania ,3585906,65200,BALTICS                            
Luxembourg ,474413,2586,WESTERN EUROPE                     
Macau ,453125,28,ASIA (EX. NEAR EAST)         
Macedonia ,2050554,25333,EASTERN EUROPE                     
Madagascar ,18595469,587040,SUB-SAHARAN AFRICA                 
Malawi ,13013926,118480,SUB-SAHARAN AFRICA                 
Malaysia ,24385858,329750,ASIA (EX. NEAR EAST)         
Maldives ,359008,300,ASIA (EX. NEAR EAST)         
Mali ,11716829,1240000,SUB-SAHARAN AFRICA                 
Malta ,400214,316,WESTERN EUROPE                     
Marshall Islands ,60422,11854,OCEANIA                            
Martinique ,436131,1100,LATIN AMER. & CARIB    
Mauritania ,3177388,1030700,SUB-SAHARAN AFRICA                 
Mauritius ,1240827,2040,SUB-SAHARAN AFRICA                 
Mayotte ,201234,374,SUB-SAHARAN AFRICA                 
Mexico ,107449525,1972550,LATIN AMER. & CARIB 
Moldova ,4466706,33843,C.W. OF IND. STATES 
Monaco ,32543,2,WESTERN EUROPE                     
Mongolia ,2832224,1564116,ASIA (EX. NEAR EAST)         
Montserrat ,9439,102,LATIN AMER. & CARIB    
Morocco ,33241259,446550,NORTHERN AFRICA                    
Mozambique ,19686505,801590,SUB-SAHARAN AFRICA                 
Namibia ,2044147,825418,SUB-SAHARAN AFRICA                 
Nauru ,13287,21,OCEANIA                            
Nepal ,28287147,147181,ASIA (EX. NEAR EAST)         
Netherlands ,16491461,41526,WESTERN EUROPE                     
Netherlands Antilles ,221736,960,LATIN AMER. & CARIB    
New Caledonia ,219246,19060,OCEANIA                            
New Zealand ,4076140,268680,OCEANIA                            
Nicaragua ,5570129,129494,LATIN AMER. & CARIB    
Niger ,12525094,1267000,SUB-SAHARAN AFRICA                 
Nigeria ,131859731,923768,SUB-SAHARAN AFRICA                 
N. Mariana Islands ,82459,477,OCEANIA                            
Norway ,4610820,323802,WESTERN EUROPE                     
Oman ,3102229,212460,NEAR EAST                          
Pakistan ,165803560,803940,ASIA (EX. NEAR EAST)         
Palau ,20579,458,OCEANIA                            
Panama ,3191319,78200,LATIN AMER. & CARIB    
Papua New Guinea ,5670544,462840,OCEANIA                            
Paraguay ,6506464,406750,LATIN AMER. & CARIB    
Peru ,28302603,1285220,LATIN AMER. & CARIB    
Philippines ,89468677,300000,ASIA (EX. NEAR EAST)         
Poland ,38536869,312685,EASTERN EUROPE                     
Portugal ,10605870,92391,WESTERN EUROPE                     
Puerto Rico ,3927188,13790,LATIN AMER. & CARIB    
Qatar ,885359,11437,NEAR EAST                          
Reunion ,787584,2517,SUB-SAHARAN AFRICA                 
Romania ,22303552,237500,EASTERN EUROPE                     
Russia ,142893540,17075200,C.W. OF IND. STATES 
Rwanda ,8648248,26338,SUB-SAHARAN AFRICA                 
Saint Helena ,7502,413,SUB-SAHARAN AFRICA                 
Saint Kitts & Nevis ,39129,261,LATIN AMER. & CARIB    
Saint Lucia ,168458,616,LATIN AMER. & CARIB    
St Pierre & Miquelon ,7026,242,NORTHERN AMERICA                   
Saint Vincent and the Grenadines ,117848,389,LATIN AMER. & CARIB    
Samoa ,176908,2944,OCEANIA                            
San Marino ,29251,61,WESTERN EUROPE                     
Sao Tome & Principe ,193413,1001,SUB-SAHARAN AFRICA                 
Saudi Arabia ,27019731,1960582,NEAR EAST                          
Senegal ,11987121,196190,SUB-SAHARAN AFRICA                 
Serbia ,9396411,88361,EASTERN EUROPE                     
Seychelles ,81541,455,SUB-SAHARAN AFRICA                 
Sierra Leone ,6005250,71740,SUB-SAHARAN AFRICA                 
Singapore ,4492150,693,ASIA (EX. NEAR EAST)         
Slovakia ,5439448,48845,EASTERN EUROPE                     
